# Time	Temperature [K]	Pressure [Pa]
0.0142	1000.26	1.36789e+06
0.0143	1000.26	1.36789e+06
0.0144	1000.27	1.36789e+06
0.0145	1000.27	1.36789e+06
0.0146	1000.27	1.36789e+06
0.0147	1000.28	1.36789e+06
0.0148	1000.28	1.36789e+06
0.0149	1000.28	1.36789e+06
0.015	1000.29	1.36789e+06
0.0151	1000.29	1.36789e+06
0.0152	1000.29	1.36789e+06
0.0153	1000.3	1.36789e+06
0.0154	1000.3	1.36789e+06
0.0155	1000.3	1.36789e+06
0.0156	1000.31	1.36789e+06
0.0157	1000.31	1.36789e+06
0.0158	1000.31	1.36789e+06
0.0159	1000.32	1.36789e+06
0.016	1000.32	1.36789e+06
0.0161	1000.33	1.36789e+06
0.0162	1000.33	1.36789e+06
0.0163	1000.33	1.36789e+06
0.0164	1000.34	1.36789e+06
0.0165	1000.34	1.36789e+06
0.0166	1000.34	1.36789e+06
0.0167	1000.35	1.36789e+06
0.0168	1000.35	1.36789e+06
0.0169	1000.36	1.36789e+06
0.017	1000.36	1.36789e+06
0.0171	1000.36	1.36789e+06
0.0172	1000.37	1.36789e+06
0.0173	1000.37	1.36789e+06
0.0174	1000.37	1.36789e+06
0.0175	1000.38	1.36789e+06
0.0176	1000.38	1.36789e+06
0.0177	1000.39	1.36789e+06
0.0178	1000.39	1.36789e+06
0.0179	1000.39	1.36789e+06
0.018	1000.4	1.36789e+06
0.0181	1000.4	1.36789e+06
0.0182	1000.41	1.36789e+06
0.0183	1000.41	1.36789e+06
0.0184	1000.42	1.36789e+06
0.0185	1000.42	1.36789e+06
0.0186	1000.42	1.36789e+06
0.0187	1000.43	1.36789e+06
0.0188	1000.43	1.36789e+06
0.0189	1000.44	1.36789e+06
0.019	1000.44	1.36789e+06
0.0191	1000.45	1.36789e+06
0.0192	1000.45	1.36789e+06
0.0193	1000.46	1.36789e+06
0.0194	1000.46	1.36789e+06
0.0195	1000.46	1.36789e+06
0.0196	1000.47	1.36789e+06
0.0197	1000.47	1.36789e+06
0.0198	1000.48	1.36789e+06
0.0199	1000.48	1.36789e+06
0.02	1000.49	1.36789e+06
0.0201	1000.49	1.36789e+06
0.0202	1000.5	1.36789e+06
0.0203	1000.5	1.36789e+06
0.0204	1000.51	1.36789e+06
0.0205	1000.51	1.36789e+06
0.0206	1000.52	1.36789e+06
0.0207	1000.52	1.36789e+06
0.0208	1000.53	1.36789e+06
0.0209	1000.53	1.36789e+06
0.021	1000.54	1.36789e+06
0.0211	1000.54	1.36789e+06
0.0212	1000.55	1.36789e+06
0.0213	1000.55	1.36789e+06
0.0214	1000.56	1.36789e+06
0.0215	1000.56	1.36789e+06
0.0216	1000.57	1.36789e+06
0.0217	1000.58	1.36789e+06
0.0218	1000.58	1.36789e+06
0.0219	1000.59	1.36789e+06
0.022	1000.59	1.36789e+06
0.0221	1000.6	1.36789e+06
0.0222	1000.6	1.36789e+06
0.0223	1000.61	1.36789e+06
0.0224	1000.61	1.36789e+06
0.0225	1000.62	1.36789e+06
0.0226	1000.63	1.36789e+06
0.0227	1000.63	1.36789e+06
0.0228	1000.64	1.36789e+06
0.0229	1000.64	1.36789e+06
0.023	1000.65	1.36789e+06
0.0231	1000.66	1.36789e+06
0.0232	1000.66	1.36789e+06
0.0233	1000.67	1.36789e+06
0.0234	1000.67	1.36789e+06
0.0235	1000.68	1.36789e+06
0.0236	1000.69	1.36789e+06
0.0237	1000.69	1.36789e+06
0.0238	1000.7	1.36789e+06
0.0239	1000.71	1.36789e+06
0.024	1000.71	1.36789e+06
0.0241	1000.72	1.36789e+06
0.0242	1000.72	1.36789e+06
0.0243	1000.73	1.36789e+06
0.0244	1000.74	1.36789e+06
0.0245	1000.74	1.36789e+06
0.0246	1000.75	1.36789e+06
0.0247	1000.76	1.36789e+06
0.0248	1000.77	1.36789e+06
0.0249	1000.77	1.36789e+06
0.025	1000.78	1.36789e+06
0.0251	1000.79	1.36789e+06
0.0252	1000.79	1.36789e+06
0.0253	1000.8	1.36789e+06
0.0254	1000.81	1.36789e+06
0.0255	1000.81	1.36789e+06
0.0256	1000.82	1.36789e+06
0.0257	1000.83	1.36789e+06
0.0258	1000.84	1.36789e+06
0.0259	1000.84	1.36789e+06
0.026	1000.85	1.36789e+06
0.0261	1000.86	1.36789e+06
0.0262	1000.87	1.36789e+06
0.0263	1000.87	1.36789e+06
0.0264	1000.88	1.36789e+06
0.0265	1000.89	1.36789e+06
0.0266	1000.9	1.36789e+06
0.0267	1000.91	1.36789e+06
0.0268	1000.91	1.36789e+06
0.0269	1000.92	1.36789e+06
0.027	1000.93	1.36789e+06
0.0271	1000.94	1.36789e+06
0.0272	1000.95	1.36789e+06
0.0273	1000.95	1.36789e+06
0.0274	1000.96	1.36789e+06
0.0275	1000.97	1.36789e+06
0.0276	1000.98	1.36789e+06
0.0277	1000.99	1.36789e+06
0.0278	1001	1.36789e+06
0.0279	1001.01	1.36789e+06
0.028	1001.01	1.36789e+06
0.0281	1001.02	1.36789e+06
0.0282	1001.03	1.36789e+06
0.0283	1001.04	1.36789e+06
0.0284	1001.05	1.36789e+06
0.0285	1001.06	1.36789e+06
0.0286	1001.07	1.36789e+06
0.0287	1001.08	1.36789e+06
0.0288	1001.09	1.36789e+06
0.0289	1001.1	1.36789e+06
0.029	1001.11	1.36789e+06
0.0291	1001.12	1.36789e+06
0.0292	1001.13	1.36789e+06
0.0293	1001.14	1.36789e+06
0.0294	1001.15	1.36789e+06
0.0295	1001.16	1.36789e+06
0.0296	1001.17	1.36789e+06
0.0297	1001.18	1.36789e+06
0.0298	1001.19	1.36789e+06
0.0299	1001.2	1.36789e+06
0.03	1001.21	1.36789e+06
0.0301	1001.22	1.36789e+06
0.0302	1001.23	1.36789e+06
0.0303	1001.24	1.36789e+06
0.0304	1001.25	1.36789e+06
0.0305	1001.26	1.36789e+06
0.0306	1001.27	1.36789e+06
0.0307	1001.28	1.36789e+06
0.0308	1001.29	1.36789e+06
0.0309	1001.3	1.36789e+06
0.031	1001.31	1.36789e+06
0.0311	1001.33	1.36789e+06
0.0312	1001.34	1.36789e+06
0.0313	1001.35	1.36789e+06
0.0314	1001.36	1.36789e+06
0.0315	1001.37	1.36789e+06
0.0316	1001.38	1.36789e+06
0.0317	1001.4	1.36789e+06
0.0318	1001.41	1.36789e+06
0.0319	1001.42	1.36789e+06
0.032	1001.43	1.36789e+06
0.0321	1001.44	1.36789e+06
0.0322	1001.46	1.36789e+06
0.0323	1001.47	1.36789e+06
0.0324	1001.48	1.36789e+06
0.0325	1001.49	1.36789e+06
0.0326	1001.51	1.36789e+06
0.0327	1001.52	1.36789e+06
0.0328	1001.53	1.36789e+06
0.0329	1001.55	1.36789e+06
0.033	1001.56	1.36789e+06
0.0331	1001.57	1.36789e+06
0.0332	1001.59	1.36789e+06
0.0333	1001.6	1.36789e+06
0.0334	1001.61	1.36789e+06
0.0335	1001.63	1.36789e+06
0.0336	1001.64	1.36789e+06
0.0337	1001.66	1.36789e+06
0.0338	1001.67	1.36789e+06
0.0339	1001.69	1.36789e+06
0.034	1001.7	1.36789e+06
0.0341	1001.72	1.36789e+06
0.0342	1001.73	1.36789e+06
0.0343	1001.74	1.36789e+06
0.0344	1001.76	1.36789e+06
0.0345	1001.78	1.36789e+06
0.0346	1001.79	1.36789e+06
0.0347	1001.81	1.36789e+06
0.0348	1001.82	1.36789e+06
0.0349	1001.84	1.36789e+06
0.035	1001.85	1.36789e+06
0.0351	1001.87	1.36789e+06
0.0352	1001.89	1.36789e+06
0.0353	1001.9	1.36789e+06
0.0354	1001.92	1.36789e+06
0.0355	1001.94	1.36789e+06
0.0356	1001.95	1.36789e+06
0.0357	1001.97	1.36789e+06
0.0358	1001.99	1.36789e+06
0.0359	1002	1.36789e+06
0.036	1002.02	1.36789e+06
0.0361	1002.04	1.36789e+06
0.0362	1002.06	1.36789e+06
0.0363	1002.08	1.36789e+06
0.0364	1002.09	1.36789e+06
0.0365	1002.11	1.36789e+06
0.0366	1002.13	1.36789e+06
0.0367	1002.15	1.36789e+06
0.0368	1002.17	1.36789e+06
0.0369	1002.19	1.36789e+06
0.037	1002.21	1.36789e+06
0.0371	1002.23	1.36789e+06
0.0372	1002.25	1.36789e+06
0.0373	1002.27	1.36789e+06
0.0374	1002.29	1.36789e+06
0.0375	1002.31	1.36789e+06
0.0376	1002.33	1.36789e+06
0.0377	1002.35	1.36789e+06
0.0378	1002.37	1.36789e+06
0.0379	1002.39	1.36789e+06
0.038	1002.41	1.36789e+06
0.0381	1002.43	1.36789e+06
0.0382	1002.45	1.36789e+06
0.0383	1002.47	1.36789e+06
0.0384	1002.5	1.36789e+06
0.0385	1002.52	1.36789e+06
0.0386	1002.54	1.36789e+06
0.0387	1002.56	1.36789e+06
0.0388	1002.59	1.36789e+06
0.0389	1002.61	1.36789e+06
0.039	1002.63	1.36789e+06
0.0391	1002.66	1.36789e+06
0.0392	1002.68	1.36789e+06
0.0393	1002.71	1.36789e+06
0.0394	1002.73	1.36789e+06
0.0395	1002.76	1.36789e+06
0.0396	1002.78	1.36789e+06
0.0397	1002.81	1.36789e+06
0.0398	1002.83	1.36789e+06
0.0399	1002.86	1.36789e+06
0.04	1002.88	1.36789e+06
0.0401	1002.91	1.36789e+06
0.0402	1002.94	1.36789e+06
0.0403	1002.96	1.36789e+06
0.0404	1002.99	1.36789e+06
0.0405	1003.02	1.36789e+06
0.0406	1003.05	1.36789e+06
0.0407	1003.08	1.36789e+06
0.0408	1003.1	1.36789e+06
0.0409	1003.13	1.36789e+06
0.041	1003.16	1.36789e+06
0.0411	1003.19	1.36789e+06
0.0412	1003.22	1.36789e+06
0.0413	1003.25	1.36789e+06
0.0414	1003.28	1.36789e+06
0.0415	1003.31	1.36789e+06
0.0416	1003.34	1.36789e+06
0.0417	1003.38	1.36789e+06
0.0418	1003.41	1.36789e+06
0.0419	1003.44	1.36789e+06
0.042	1003.47	1.36789e+06
0.0421	1003.51	1.36789e+06
0.0422	1003.54	1.36789e+06
0.0423	1003.57	1.36789e+06
0.0424	1003.61	1.36789e+06
0.0425	1003.64	1.36789e+06
0.0426	1003.68	1.36789e+06
0.0427	1003.71	1.36789e+06
0.0428	1003.75	1.36789e+06
0.0429	1003.79	1.36789e+06
0.043	1003.82	1.36789e+06
0.0431	1003.86	1.36789e+06
0.0432	1003.9	1.36789e+06
0.0433	1003.94	1.36789e+06
0.0434	1003.97	1.36789e+06
0.0435	1004.01	1.36789e+06
0.0436	1004.05	1.36789e+06
0.0437	1004.09	1.36789e+06
0.0438	1004.13	1.36789e+06
0.0439	1004.18	1.36789e+06
0.044	1004.22	1.36789e+06
0.0441	1004.26	1.36789e+06
0.0442	1004.3	1.36789e+06
0.0443	1004.35	1.36789e+06
0.0444	1004.39	1.36789e+06
0.0445	1004.43	1.36789e+06
0.0446	1004.48	1.36789e+06
0.0447	1004.53	1.36789e+06
0.0448	1004.57	1.36789e+06
0.0449	1004.62	1.36789e+06
0.045	1004.67	1.36789e+06
0.0451	1004.71	1.36789e+06
0.0452	1004.76	1.36789e+06
0.0453	1004.81	1.36789e+06
0.0454	1004.86	1.36789e+06
0.0455	1004.91	1.36789e+06
0.0456	1004.97	1.36789e+06
0.0457	1005.02	1.36789e+06
0.0458	1005.07	1.36789e+06
0.0459	1005.13	1.36789e+06
0.046	1005.18	1.36789e+06
0.0461	1005.24	1.36789e+06
0.0462	1005.29	1.36789e+06
0.0463	1005.35	1.36789e+06
0.0464	1005.41	1.36789e+06
0.0465	1005.47	1.36789e+06
0.0466	1005.53	1.36789e+06
0.0467	1005.59	1.36789e+06
0.0468	1005.65	1.36789e+06
0.0469	1005.71	1.36789e+06
0.047	1005.77	1.36789e+06
0.0471	1005.84	1.36789e+06
0.0472	1005.9	1.36789e+06
0.0473	1005.97	1.36789e+06
0.0474	1006.04	1.36789e+06
0.0475	1006.1	1.36789e+06
0.0476	1006.17	1.36789e+06
0.0477	1006.25	1.36789e+06
0.0478	1006.32	1.36789e+06
0.0479	1006.39	1.36789e+06
0.048	1006.46	1.36789e+06
0.0481	1006.54	1.36789e+06
0.0482	1006.62	1.36789e+06
0.0483	1006.69	1.36789e+06
0.0484	1006.77	1.36789e+06
0.0485	1006.85	1.36789e+06
0.0486	1006.94	1.36789e+06
0.0487	1007.02	1.36789e+06
0.0488	1007.1	1.36789e+06
0.0489	1007.19	1.36789e+06
0.049	1007.28	1.36789e+06
0.0491	1007.37	1.36789e+06
0.0492	1007.46	1.36789e+06
0.0493	1007.55	1.36789e+06
0.0494	1007.65	1.36789e+06
0.0495	1007.74	1.36789e+06
0.0496	1007.84	1.36789e+06
0.0497	1007.94	1.36789e+06
0.0498	1008.04	1.36789e+06
0.0499	1008.15	1.36789e+06
0.05	1008.25	1.36789e+06
0.0501	1008.36	1.36789e+06
0.0502	1008.47	1.36789e+06
0.0503	1008.58	1.36789e+06
0.0504	1008.7	1.36789e+06
0.0505	1008.81	1.36789e+06
0.0506	1008.93	1.36789e+06
0.0507	1009.05	1.36789e+06
0.0508	1009.18	1.36789e+06
0.0509	1009.3	1.36789e+06
0.051	1009.43	1.36789e+06
0.0511	1009.57	1.36789e+06
0.0512	1009.7	1.36789e+06
0.0513	1009.84	1.36789e+06
0.0514	1009.98	1.36789e+06
0.0515	1010.12	1.36789e+06
0.0516	1010.27	1.36789e+06
0.0517	1010.42	1.36789e+06
0.0518	1010.58	1.36789e+06
0.0519	1010.74	1.36789e+06
0.052	1010.9	1.36789e+06
0.0521	1011.06	1.36789e+06
0.0522	1011.23	1.36789e+06
0.0523	1011.41	1.36789e+06
0.0524	1011.59	1.36789e+06
0.0525	1011.77	1.36789e+06
0.0526	1011.96	1.36789e+06
0.0527	1012.15	1.36789e+06
0.0528	1012.35	1.36789e+06
0.0529	1012.55	1.36789e+06
0.053	1012.76	1.36789e+06
0.0531	1012.98	1.36789e+06
0.0532	1013.2	1.36789e+06
0.0533	1013.42	1.36789e+06
0.0534	1013.66	1.36789e+06
0.0535	1013.9	1.36789e+06
0.0536	1014.14	1.36789e+06
0.0537	1014.4	1.36789e+06
0.0538	1014.66	1.36789e+06
0.0539	1014.93	1.36789e+06
0.054	1015.21	1.36789e+06
0.0541	1015.5	1.36789e+06
0.0542	1015.8	1.36789e+06
0.0543	1016.11	1.36789e+06
0.0544	1016.42	1.36789e+06
0.0545	1016.75	1.36789e+06
0.0546	1017.09	1.36789e+06
0.0547	1017.45	1.36789e+06
0.0548	1017.81	1.36789e+06
0.0549	1018.19	1.36789e+06
0.055	1018.59	1.36789e+06
0.0551	1019	1.36789e+06
0.0552	1019.42	1.36789e+06
0.0553	1019.86	1.36789e+06
0.0554	1020.33	1.36789e+06
0.0555	1020.81	1.36789e+06
0.0556	1021.31	1.36789e+06
0.0557	1021.83	1.36789e+06
0.0558	1022.38	1.36789e+06
0.0559	1022.95	1.36789e+06
0.056	1023.56	1.36789e+06
0.0561	1024.19	1.36789e+06
0.0562	1024.85	1.36789e+06
0.0563	1025.55	1.36789e+06
0.0564	1026.28	1.36789e+06
0.0565	1027.06	1.36789e+06
0.0566	1027.87	1.36789e+06
0.0567	1028.74	1.36789e+06
0.0568	1029.66	1.36789e+06
0.0569	1030.64	1.36789e+06
0.057	1031.68	1.36789e+06
0.0571	1032.79	1.36789e+06
0.0572	1033.99	1.36789e+06
0.0573	1035.26	1.36789e+06
0.0574	1036.64	1.36789e+06
0.0575	1038.13	1.36789e+06
0.0576	1039.74	1.36789e+06
0.0577	1041.5	1.36789e+06
0.0578	1043.42	1.36789e+06
0.0579	1045.54	1.36789e+06
0.058	1047.87	1.36789e+06
0.0581	1050.48	1.36789e+06
0.0582	1053.4	1.36789e+06
0.0583	1056.7	1.36789e+06
0.0584	1060.49	1.36789e+06
0.0585	1064.87	1.36789e+06
0.0586	1070.04	1.36789e+06
0.0587	1076.25	1.36789e+06
0.0588	1083.9	1.36789e+06
0.0589	1093.66	1.36789e+06
0.059	1106.75	1.36789e+06
0.0591	1125.72	1.36789e+06
0.05915	1139.03	1.36789e+06
0.0592563	1186.42	1.36789e+06
0.0592828	1206.19	1.36789e+06
0.0592961	1218.21	1.36789e+06
0.0593222	1247.75	1.36789e+06
0.0593352	1266.29	1.36789e+06
0.0593608	1313.56	1.36789e+06
0.0593736	1344.52	1.36789e+06
0.0593997	1438.52	1.36789e+06
0.0594062	1473.8	1.36789e+06
0.0594094	1494.9	1.36789e+06
0.0594159	1549.06	1.36789e+06
0.0594192	1585.92	1.36789e+06
0.0594208	1608.58	1.36789e+06
0.0594241	1670.22	1.36789e+06
0.0594249	1690.76	1.36789e+06
0.0594265	1744.77	1.36789e+06
0.0594269	1762	1.36789e+06
0.0594277	1804.87	1.36789e+06
0.0594281	1831.98	1.36789e+06
0.0594289	1908.56	1.36789e+06
0.0594291	1934.57	1.36789e+06
0.0594295	2003.68	1.36789e+06
0.0594296	2025.19	1.36789e+06
0.0594298	2075.7	1.36789e+06
0.0594299	2103.98	1.36789e+06
0.0594301	2161.76	1.36789e+06
0.0594302	2174.39	1.36789e+06
0.0594303	2196.33	1.36789e+06
0.0594303	2205.74	1.36789e+06
0.0594304	2222.91	1.36789e+06
0.0594305	2231.05	1.36789e+06
0.0594306	2247.08	1.36789e+06
0.0594308	2274.22	1.36789e+06
0.0594311	2316.04	1.36789e+06
0.0594316	2377.33	1.36789e+06
0.0594326	2456.97	1.36789e+06
0.0594331	2484.39	1.36789e+06
0.059434	2525.21	1.36789e+06
0.059436	2575.17	1.36789e+06
0.0594399	2623.94	1.36789e+06
0.0594419	2637	1.36789e+06
0.0594458	2653.02	1.36789e+06
0.0594536	2666.6	1.36789e+06
0.0594692	2673.16	1.36789e+06
0.059477	2673.72	1.36789e+06
0.0594924	2673.81	1.36789e+06
0.0595223	2673.38	1.36789e+06
0.059582	2672.42	1.36789e+06
0.0596865	2670.86	1.36789e+06
0.059791	2669.46	1.36789e+06
0.0598955	2668.2	1.36789e+06
0.06	2667.08	1.36789e+06
0.0601	2666.14	1.36789e+06
0.0602	2665.39	1.36789e+06
0.06025	2665.1	1.36789e+06
0.0603505	2664.43	1.36789e+06
0.060451	2663.86	1.36789e+06
0.0605515	2663.35	1.36789e+06
0.0606521	2662.91	1.36789e+06
0.0607526	2662.64	1.36789e+06
0.0608531	2662.34	1.36789e+06
0.0609536	2662.09	1.36789e+06
0.0610541	2661.83	1.36789e+06
0.0611546	2661.64	1.36789e+06
0.0612552	2661.47	1.36789e+06
0.0613557	2661.33	1.36789e+06
0.0614562	2661.22	1.36789e+06
0.0615064	2661.18	1.36789e+06
0.0616064	2661.08	1.36789e+06
0.0617063	2661	1.36789e+06
0.0618062	2660.94	1.36789e+06
0.0619061	2660.88	1.36789e+06
0.0620061	2660.83	1.36789e+06
0.062106	2660.8	1.36789e+06
0.0622059	2660.76	1.36789e+06
0.0623058	2660.73	1.36789e+06
0.0624058	2660.71	1.36789e+06
0.0625057	2660.68	1.36789e+06
0.0626056	2660.67	1.36789e+06
0.0627055	2660.65	1.36789e+06
0.0628055	2660.64	1.36789e+06
0.0629054	2660.63	1.36789e+06
0.0629553	2660.62	1.36789e+06
0.063056	2660.61	1.36789e+06
0.0631566	2660.61	1.36789e+06
0.0632573	2660.6	1.36789e+06
0.0633579	2660.6	1.36789e+06
0.0634585	2660.59	1.36789e+06
0.0635592	2660.59	1.36789e+06
0.0636598	2660.58	1.36789e+06
0.0637604	2660.58	1.36789e+06
0.0638611	2660.58	1.36789e+06
0.0639617	2660.58	1.36789e+06
0.0640624	2660.58	1.36789e+06
0.064163	2660.57	1.36789e+06
0.0642636	2660.57	1.36789e+06
0.0643643	2660.57	1.36789e+06
0.0644146	2660.57	1.36789e+06
0.0645143	2660.57	1.36789e+06
0.0646141	2660.57	1.36789e+06
0.0647138	2660.57	1.36789e+06
0.0648136	2660.57	1.36789e+06
0.0649133	2660.57	1.36789e+06
0.065013	2660.57	1.36789e+06
0.0651128	2660.57	1.36789e+06
0.0652125	2660.57	1.36789e+06
0.0653122	2660.57	1.36789e+06
0.065412	2660.57	1.36789e+06
0.0655117	2660.57	1.36789e+06
0.0656115	2660.57	1.36789e+06
0.0657112	2660.57	1.36789e+06
0.0658109	2660.57	1.36789e+06
0.0659107	2660.57	1.36789e+06
0.0660104	2660.57	1.36789e+06
0.0661102	2660.57	1.36789e+06
0.0662099	2660.57	1.36789e+06
0.0663096	2660.57	1.36789e+06
0.0664094	2660.57	1.36789e+06
0.0664593	2660.57	1.36789e+06
0.0665604	2660.57	1.36789e+06
0.0666616	2660.57	1.36789e+06
0.0667627	2660.57	1.36789e+06
0.0668639	2660.57	1.36789e+06
0.0669651	2660.57	1.36789e+06
0.0670662	2660.57	1.36789e+06
0.0671674	2660.57	1.36789e+06
0.0672686	2660.57	1.36789e+06
0.0673697	2660.57	1.36789e+06
0.0674709	2660.57	1.36789e+06
0.0675721	2660.57	1.36789e+06
0.0676226	2660.57	1.36789e+06
0.0677217	2660.57	1.36789e+06
0.0678208	2660.57	1.36789e+06
0.0679198	2660.57	1.36789e+06
0.0680189	2660.57	1.36789e+06
0.0681179	2660.57	1.36789e+06
0.068217	2660.57	1.36789e+06
0.068316	2660.57	1.36789e+06
0.0684151	2660.57	1.36789e+06
0.0685142	2660.57	1.36789e+06
0.0686132	2660.57	1.36789e+06
0.0686627	2660.57	1.36789e+06
0.0687656	2660.57	1.36789e+06
0.0688685	2660.57	1.36789e+06
0.0689713	2660.57	1.36789e+06
0.0690742	2660.57	1.36789e+06
0.0691771	2660.57	1.36789e+06
0.0692799	2660.57	1.36789e+06
0.0693314	2660.57	1.36789e+06
0.0694269	2660.57	1.36789e+06
0.0695224	2660.57	1.36789e+06
0.0696179	2660.57	1.36789e+06
0.0697134	2660.57	1.36789e+06
0.069809	2660.57	1.36789e+06
0.0699045	2660.57	1.36789e+06
0.0699522	2660.57	1.36789e+06
0.07	2660.57	1.36789e+06
